x,y,z
0.881764,0.971944,-0.001685
0.513026,0.082164,-0.000282
0.659319,0.082164,-0.001301
0.032064,0.689379,0.000607
0.000000,0.050100,0.000926
0.727455,0.112224,0.000348
0.989980,0.210421,0.003513
0.208417,0.541082,-0.000150
0.188377,0.048096,-0.000661
0.014028,0.432866,-0.000634
0.136273,0.200401,0.000150
0.112224,0.066132,0.000984
0.767535,0.615230,-0.001416
0.122244,0.204409,0.001285
0.757515,0.605210,-0.000427
0.360721,0.995992,-0.000963
0.018036,0.931864,0.000097
0.693387,0.260521,-0.000220
0.066132,0.679359,0.000107
0.819639,0.633267,-0.001261
0.456914,0.332665,0.000818
0.653307,0.659319,-0.000347
0.226453,0.721443,-0.001081
0.208417,0.076152,-0.001189
0.426854,0.130261,0.001288
0.611222,0.412826,0.000082
0.146293,0.102204,0.000645
0.939880,0.667335,0.001011
0.671343,0.575150,0.000570
0.991984,0.739479,-0.000114
0.212425,0.669339,-0.001496
0.328657,0.645291,-0.000217
0.651303,0.134269,0.000397
0.625251,0.442886,0.000627
0.446894,0.004008,0.000388
0.496994,0.188377,-0.001557
0.737475,0.076152,-0.000017
0.659319,0.845691,0.000585
0.619238,0.989980,0.000138
0.941884,0.925852,0.000145
0.893788,0.833667,-0.000172
0.334669,0.482966,-0.000879
0.631263,0.535070,0.000105
0.262525,0.633267,-0.000983
0.106212,0.484970,0.000212
0.651303,0.985972,-0.000334
0.909820,0.428858,0.001755
0.817635,0.258517,-0.000490
0.547094,0.372745,-0.000480
0.591182,0.649299,-0.002369
0.903808,0.212425,0.001117
0.266533,0.258517,-0.000170
0.895792,0.603206,-0.002191
0.625251,0.464930,0.000341
0.032064,0.559118,-0.000743
0.254509,0.244489,0.001247
0.983968,0.478958,-0.000251
0.913828,0.376754,0.000746
0.320641,0.583166,-0.001614
0.671343,0.683367,-0.000725
0.935872,0.763527,-0.000292
0.210421,0.058116,-0.000702
0.158317,0.186373,0.000406
0.260521,0.418838,-0.000716
0.537074,0.388778,0.000149
0.793587,0.759519,0.001397
0.470942,0.745491,0.000324
0.020040,0.661323,0.000291
0.561122,0.148297,-0.000478
0.659319,0.857715,0.000449
0.468938,0.727455,0.000708
0.725451,0.472946,0.000191
0.711423,0.470942,0.001001
0.981964,0.288577,0.001430
0.476954,0.683367,-0.000244
0.050100,0.503006,0.000305
0.416834,0.875752,0.000655
0.124248,0.621242,0.000486
0.038076,0.573146,0.000759
0.687375,0.909820,-0.000355
0.773547,0.318637,-0.002842
0.426854,0.621242,-0.000527
0.494990,0.468938,-0.000606
0.685371,0.819639,-0.000205
0.388778,0.879760,-0.000452
0.873747,0.256513,0.000562
0.336673,0.911824,-0.001154
0.008016,0.951904,-0.000641
0.214429,0.683367,-0.000305
0.426854,0.789579,0.000831
0.400802,0.963928,-0.000217
0.651303,0.991984,-0.000864
0.060120,0.490982,-0.000446
0.579158,0.218437,-0.000462
0.731463,0.607214,-0.000054
0.855711,0.132265,-0.000062
0.669339,0.352705,0.000399
0.551102,0.296593,0.000008
0.657315,0.166333,0.001314
0.386774,0.262525,-0.000708
0.735471,0.813627,0.000862
0.082164,0.412826,0.000907
0.056112,0.879760,0.000737
0.314629,0.004008,-0.000551
0.705411,0.404810,-0.000196
0.565130,0.961924,0.000876
0.280561,0.529058,-0.000162
0.733467,0.691383,0.000022
0.503006,0.703407,0.000421
0.887776,0.637275,-0.001464
0.224449,0.008016,-0.001164
0.462926,0.142285,-0.000798
0.643287,0.525050,0.001491
0.374749,0.661323,-0.000411
0.907816,0.815631,-0.000473
0.328657,0.533066,-0.001430
0.843687,0.869739,-0.000981
0.320641,0.028056,0.000791
0.557114,0.637275,-0.001140
0.090180,0.446894,0.001804
0.519038,0.490982,-0.001493
0.989980,0.348697,0.000757
0.649299,0.160321,0.000794
0.519038,0.719439,-0.001145
0.220441,0.719439,-0.001097
0.671343,0.969940,-0.000273
0.831663,0.334669,0.000176
0.601202,0.805611,0.000323
0.102204,0.529058,-0.000240
0.791583,0.645291,0.000432
0.771543,0.458918,-0.001149
0.827655,0.104208,0.000274
0.050100,0.603206,0.000550
0.174349,0.691383,0.000458
0.164329,0.701403,0.000079
0.589178,0.362725,0.000189
0.579158,0.450902,-0.000183
0.977956,0.240481,0.003316
0.787575,0.002004,-0.001244
0.098196,0.823647,0.000341
0.611222,0.983968,0.000028
0.200401,0.757515,-0.000145
0.440882,0.763527,-0.000150
0.927856,0.723447,0.002270
0.665331,0.825651,0.000239
0.627255,0.196393,0.000307
0.577154,0.468938,-0.000182
0.266533,0.162325,0.001473
0.174349,0.861723,-0.000109
0.208417,0.290581,0.000454
0.032064,0.076152,0.000582
0.096192,0.460922,0.000718
0.278557,0.226453,0.000802
0.701403,0.719439,-0.001449
0.729459,0.194389,0.000664
0.350701,0.715431,-0.001583
0.270541,0.983968,-0.000744
0.607214,0.440882,0.001175
0.807615,0.358717,0.001216
0.246493,0.014028,-0.001107
0.887776,0.312625,-0.000848
0.863727,0.454910,0.000735
0.843687,0.701403,0.000190
0.044088,0.264529,-0.000003
0.951904,0.354709,-0.000184
0.114228,0.454910,0.000495
0.134269,0.991984,-0.000049
0.591182,0.024048,0.001339
0.016032,0.847695,0.001503
0.939880,0.815631,-0.001618
0.438878,0.603206,-0.000352
0.232465,0.505010,0.000189
0.070140,0.316633,-0.000684
0.320641,0.210421,0.001637
0.254509,0.368737,-0.000318
0.436874,0.831663,0.000665
0.012024,0.871743,0.001144
0.482966,0.659319,0.000192
0.611222,0.795591,-0.000961
0.092184,0.144289,0.003039
0.779559,0.464930,-0.001570
0.232465,0.258517,0.000661
0.713427,0.855711,0.000076
0.667335,0.769539,0.000495
0.699399,0.915832,-0.000252
0.785571,0.707415,0.000804
0.651303,0.887776,-0.001199
0.613226,0.176353,0.000225
0.062124,0.340681,0.001364
0.226453,0.240481,0.000848
0.364729,0.286573,-0.000858
0.184369,0.422846,0.000605
0.975952,0.414830,0.000081
0.873747,0.014028,-0.000626
0.625251,0.871743,-0.000195
0.759519,0.208417,0.000600
0.434870,0.124248,0.000977
0.555110,0.314629,-0.001071
0.092184,0.236473,0.002287
0.232465,0.488978,0.000330
0.737475,0.374749,0.000577
0.797595,0.466934,-0.001351
0.725451,0.274549,-0.000137
0.006012,0.731463,-0.000015
0.248497,0.264529,0.000789
0.088176,0.597194,0.000606
0.677355,0.094188,-0.000697
0.903808,0.735471,0.000933
0.340681,0.290581,-0.000756
0.074148,0.432866,0.000508
0.595190,0.807615,0.000320
0.517034,0.120240,-0.000936
0.971944,0.106212,0.000102
0.394790,0.256513,-0.000761
0.260521,0.699399,-0.000674
0.426854,0.969940,0.000631
0.639279,0.675351,-0.001505
0.484970,0.847695,0.000259
0.198397,0.671343,0.000498
0.210421,0.206413,0.002320
0.350701,0.100200,0.001173
0.935872,0.056112,-0.000010
0.030060,0.004008,-0.000041
0.783567,0.933868,-0.001067
0.917836,0.857715,-0.000569
0.563126,0.144289,-0.000087
0.579158,0.701403,-0.002080
0.172345,0.356713,0.000473
0.158317,0.863727,0.000836
0.004008,0.086172,0.000314
0.454910,0.438878,-0.000786
0.118236,0.438878,0.000990
0.725451,0.070140,0.000199
0.829659,0.967936,-0.002087
0.032064,0.464930,-0.001293
0.220441,0.102204,-0.001639
0.264529,0.416834,-0.000121
0.789579,0.691383,-0.000068
0.016032,0.220441,0.003028
0.484970,0.438878,0.000768
0.557114,0.949900,0.000394
0.208417,0.773547,-0.001293
0.312625,0.110220,0.000424
0.136273,0.386774,0.000896
0.751503,0.234469,-0.001446
0.787575,0.142285,0.000243
0.853707,0.967936,-0.001421
0.833667,0.511022,0.000300
0.264529,0.400802,-0.000211
0.128257,0.256513,0.001671
0.452906,0.581162,-0.001221
0.062124,0.889780,0.000577
0.224449,0.915832,-0.001628
0.498998,0.450902,-0.000579
0.364729,0.763527,0.000255
0.735471,0.250501,-0.001803
0.793587,0.334669,-0.001312
0.659319,0.659319,-0.000096
0.733467,0.819639,0.001005
0.406814,0.531062,0.000961
0.981964,0.597194,0.000129
0.881764,0.855711,0.000237
0.038076,0.991984,0.000141
0.182365,0.711423,-0.000370
0.040080,0.525050,0.000911
0.144289,0.014028,-0.000656
0.803607,0.569138,0.000142
0.160321,0.454910,-0.001344
0.741483,0.226453,-0.000405
0.136273,0.318637,0.000721
0.781563,0.915832,-0.001135
0.573146,0.214429,-0.000664
0.024048,0.995992,-0.000382
0.939880,0.513026,0.000805
0.212425,0.372745,0.001026
0.128257,0.793587,-0.001042
0.601202,0.116232,-0.001460
0.306613,0.969940,-0.000983
0.727455,0.026052,0.002075
0.877756,0.124248,-0.001390
0.641283,0.753507,-0.001625
0.759519,0.541082,0.000570
0.482966,0.050100,0.001458
0.885772,0.054108,-0.000458
0.793587,0.492986,-0.002207
0.380762,0.549098,0.000030
0.509018,0.388778,0.000498
0.028056,0.326653,-0.000353
0.420842,0.366733,-0.000235
0.474950,0.262525,-0.001602
0.759519,0.404810,0.000696
0.430862,0.989980,0.000872
0.563126,0.763527,-0.000322
0.414830,0.735471,-0.001953
0.262525,0.881764,-0.000343
0.180361,0.006012,0.001078
0.547094,0.825651,0.001396
0.302605,0.294589,-0.000129
0.244489,0.286573,0.000966
0.384770,0.306613,-0.000551
0.797595,0.254509,0.001483
0.114228,0.450902,0.000615
0.360721,0.617234,-0.001083
0.639279,0.060120,-0.000448
0.817635,0.709419,-0.000457
0.294589,0.539078,-0.001622
0.394790,0.450902,-0.001499
0.104208,0.348697,0.000658
0.056112,0.012024,0.000148
0.525050,0.088176,-0.000856
0.961924,0.617234,0.000789
0.476954,0.370741,-0.000860
0.541082,0.883768,0.000909
0.747495,0.198397,0.000124
0.921844,0.242485,0.001470
0.432866,0.819639,0.000922
0.474950,0.953908,0.001065
0.426854,0.657315,-0.001301
0.817635,0.963928,-0.001478
0.028056,0.434870,-0.000973
0.579158,0.755511,-0.000391
0.739479,0.963928,0.000096
0.925852,0.953908,0.000238
0.304609,0.114228,0.000403
0.927856,0.791583,-0.000317
0.697395,0.527054,0.000752
0.627255,0.356713,0.000322
0.332665,0.503006,-0.001798
0.789579,1.000000,-0.000848
0.476954,0.977956,0.001868
0.216433,0.931864,-0.000848
0.476954,0.122244,-0.000860
0.352705,0.557114,-0.001239
0.328657,0.118236,0.000620
0.683367,0.078156,-0.000070
0.549098,0.328657,0.000063
0.102204,0.511022,0.000072
0.136273,0.374749,0.001250
0.056112,0.899800,0.000030
0.132265,0.134269,0.000857
0.567134,0.450902,-0.000782
0.134269,0.577154,0.001014
0.226453,0.567134,0.000739
0.046092,0.126253,0.002191
0.108216,0.953908,-0.000051
0.404810,0.747495,-0.000816
0.603206,0.705411,-0.000860
0.368737,0.252505,-0.000414
0.292585,0.426854,-0.000022
0.340681,0.396794,0.000381
0.959920,0.995992,-0.000678
0.863727,0.923848,0.001073
0.795591,0.414830,0.000960
0.100200,0.889780,0.001188
0.350701,0.266533,0.000314
0.032064,0.270541,0.000299
0.196393,0.472946,-0.000133
0.873747,0.012024,-0.000607
0.454910,0.284569,-0.000105
0.665331,0.919840,-0.000622
0.086172,0.969940,0.000269
0.074148,0.815631,0.001986
0.028056,0.052104,0.002047
0.056112,0.953908,0.000435
0.362725,0.384770,0.000346
0.575150,0.637275,-0.002377
0.044088,0.126253,0.001762
0.587174,0.791583,0.001333
0.997996,0.196393,0.002460
0.677355,0.310621,0.000088
0.591182,0.446894,0.000684
0.416834,0.679359,-0.000295
0.370741,0.262525,-0.001059
0.490982,0.384770,-0.001139
0.677355,0.026052,0.000062
0.595190,0.797595,0.000343
0.943888,0.905812,0.000235
0.705411,0.442886,0.000457
0.945892,0.993988,-0.000390
0.026052,0.559118,-0.001208
0.314629,0.879760,-0.000317
0.681363,0.392786,0.000664
0.356713,0.735471,0.000282
0.384770,0.579158,-0.000981
0.993988,0.771543,-0.000448
0.827655,0.849699,-0.000396
0.869739,0.100200,-0.001569
0.955912,0.126253,-0.000479
0.531062,0.134269,0.000124
0.048096,0.921844,0.000089
0.509018,0.711423,-0.001056
0.657315,0.589178,-0.000532
0.883768,0.384770,0.000185
0.859719,0.168337,-0.000217
0.563126,0.901804,-0.000286
0.432866,0.841683,0.001135
0.957916,0.893788,-0.000657
0.951904,0.034068,0.000360
0.464930,0.859719,-0.000940
0.831663,0.627255,-0.001856
0.106212,0.330661,-0.000420
0.130261,0.190381,0.000254
0.653307,0.198397,0.000271
0.192385,0.368737,0.001100
0.933868,0.611222,0.000302
0.494990,0.795591,-0.000250
0.513026,0.533066,-0.000916
0.775551,0.507014,-0.001998
0.306613,0.064128,-0.000488
0.084168,0.428858,0.001067
0.615230,0.286573,0.000725
0.372745,0.158317,-0.000868
0.905812,0.505010,0.001156
0.807615,0.106212,0.000694
0.639279,0.342685,-0.000950
0.148297,0.983968,-0.000255
0.583166,0.939880,-0.000442
0.597194,0.366733,-0.000569
0.312625,0.208417,0.001848
0.098196,0.537074,-0.000225
0.501002,0.322645,-0.000783
0.098196,0.248497,0.002299
0.302605,0.917836,-0.001093
0.264529,0.733467,-0.000533
0.294589,0.072144,0.000828
0.523046,0.476954,-0.000990
0.112224,0.915832,0.000690
0.577154,0.547094,-0.001633
0.957916,0.006012,-0.000976
0.647295,0.054108,-0.000003
0.501002,0.292585,-0.000160
0.128257,0.595190,0.000614
0.653307,0.643287,-0.000754
0.533066,0.661323,-0.001149
0.611222,0.226453,-0.000293
0.188377,0.941884,0.000380
0.587174,0.651303,-0.002266
0.190381,0.789579,0.000239
0.192385,0.268537,0.001458
0.022044,0.849699,0.001738
0.629259,0.869739,-0.000463
0.683367,0.322645,-0.000437
0.332665,0.080160,-0.000488
0.729459,0.587174,0.000347
0.543086,0.430862,-0.000126
0.773547,0.192385,0.001019
0.440882,0.679359,-0.000470
0.603206,0.667335,-0.002164
0.222445,0.124248,0.000356
0.969940,0.106212,0.000102
0.951904,0.935872,-0.000140
0.456914,0.925852,-0.000194
0.925852,0.581162,-0.001141
0.623246,0.278557,-0.000635
0.751503,0.823647,0.000346
0.160321,0.206413,-0.000167
0.258517,0.246493,0.000851
0.056112,0.490982,-0.000281
0.112224,0.549098,-0.000361
0.729459,0.929860,0.000183
0.102204,0.406814,0.001101
0.450902,0.685371,-0.000031
0.086172,0.825651,0.001108
0.627255,0.531062,0.000048
0.609218,0.274549,0.000804
0.294589,0.064128,0.000375
0.428858,0.356713,0.000284
0.400802,0.877756,-0.000085
0.751503,0.348697,-0.000266
0.408818,0.785571,0.001871
0.943888,0.521042,0.000382
0.621242,0.927856,-0.001614
0.450902,0.354709,0.000387
0.302605,0.591182,-0.000230
0.434870,0.140281,0.000616
0.222445,0.400802,-0.001036
0.803607,0.488978,-0.001712
0.825651,0.494990,0.000223
0.671343,0.733467,-0.002367
0.176353,0.272545,0.000897
0.084168,0.120240,0.000966
0.148297,0.605210,0.001707
0.763527,0.036072,0.000176
0.182365,0.266533,0.001306
0.252505,0.871743,-0.001195
0.068136,0.511022,0.000031
0.897796,0.304609,0.000169
0.647295,0.887776,-0.000862
0.863727,0.675351,0.000945
0.823647,0.575150,-0.001303
0.306613,0.190381,0.000728
0.108216,0.703407,-0.000717
0.631263,0.058116,0.001220
0.304609,0.545090,-0.001279
0.893788,0.066132,-0.000503
0.917836,0.068136,0.000597
0.711423,0.907816,-0.001475
0.104208,0.424850,0.001369
0.314629,0.294589,-0.000920
0.092184,0.272545,0.000521
0.739479,0.955912,0.001105
0.108216,0.430862,0.000856
0.665331,0.120240,0.000067
0.446894,0.635271,-0.000405
0.030060,0.963928,0.001140
0.282565,0.366733,0.000285
0.637275,0.234469,0.000300
0.569138,0.785571,0.000173
0.408818,0.663327,0.000532
0.823647,0.156313,0.001543
0.677355,0.777555,0.000087
0.024048,0.943888,0.000371
0.246493,0.154309,0.002094
0.412826,0.328657,0.002248
0.396794,0.889780,-0.000498
0.707415,0.873747,-0.001854
0.597194,0.825651,0.000295
0.158317,0.020040,0.000530
0.470942,0.543086,-0.000700
0.767535,0.857715,0.000399
0.759519,0.240481,0.000062
0.406814,0.805611,0.001177
0.635271,0.935872,-0.000805
0.597194,0.919840,-0.000953
0.090180,0.052104,0.000177
0.372745,0.116232,0.000381
0.186373,0.829659,0.000156
0.280561,0.721443,-0.000629
0.268537,0.266533,0.000578
0.498998,0.114228,0.000264
0.006012,0.350701,0.000147
0.160321,0.246493,-0.000428
0.547094,0.927856,0.001552
0.519038,0.048096,-0.000891
0.330661,0.721443,-0.000511
0.258517,0.765531,-0.000972
0.166333,0.785571,0.001215
0.797595,0.226453,0.001533
0.472946,0.286573,-0.001407
0.072144,0.679359,-0.000536
0.707415,0.432866,0.000587
0.040080,0.408818,0.000935
0.126253,0.565130,0.001089
0.000000,0.040080,0.001677
0.354709,0.953908,-0.000597
0.545090,0.150301,-0.000891
0.525050,0.687375,-0.000866
0.653307,0.372745,0.000003
0.462926,0.370741,-0.000867
0.458918,0.803607,0.000049
0.633267,0.262525,-0.000585
0.789579,0.088176,0.000582
0.314629,0.873747,-0.000962
0.160321,0.364729,0.000574
0.761523,0.903808,-0.000625
0.030060,0.747495,0.000876
0.376754,0.897796,-0.001414
0.210421,0.549098,0.000190
0.541082,0.811623,-0.000341
0.172345,0.691383,0.000523
0.434870,0.897796,0.000892
0.697395,0.791583,0.000775
0.603206,0.164329,-0.000973
0.386774,0.444890,-0.001127
0.168337,0.248497,0.000839
0.020040,0.066132,0.002050
0.949900,0.428858,-0.000555
0.370741,0.583166,-0.002018
0.430862,0.046092,0.002410
0.949900,0.557114,0.000367
0.486974,0.785571,-0.000352
0.829659,0.284569,0.000070
0.184369,0.833667,0.000331
0.835671,0.418838,0.000307
0.805611,0.306613,-0.001993
0.859719,0.394790,0.000040
0.863727,0.230461,0.001116
0.032064,0.509018,0.000434
0.895792,0.605210,-0.001907
0.046092,0.272545,-0.000272
0.911824,0.689379,0.000882
0.070140,0.671343,-0.000445
0.987976,0.979960,-0.001116
0.020040,0.503006,-0.000095
0.951904,0.923848,0.001043
0.673347,0.669339,-0.000473
0.839679,0.410822,-0.000602
0.553106,0.034068,-0.000410
0.162325,0.939880,0.000531
0.815631,0.394790,0.000362
0.008016,0.188377,0.001863
0.472946,0.060120,0.000939
0.144289,0.000000,-0.000316
0.230461,0.090180,-0.000941
0.284569,0.725451,-0.000629
0.062124,0.919840,-0.000585
0.727455,0.917836,-0.000328
0.190381,0.186373,0.001939
0.627255,0.507014,0.001779
0.799599,0.757515,0.000645
0.581162,0.511022,0.000361
0.394790,0.280561,0.000378
0.885772,0.757515,0.000842
0.929860,0.657315,0.000456
0.136273,0.725451,-0.000205
0.136273,0.126253,0.001218
0.018036,0.102204,-0.000168
0.146293,0.629259,0.001400
0.210421,0.452906,-0.000142
0.667335,0.158317,0.001363
0.627255,0.671343,-0.001584
0.925852,0.889780,0.001224
0.983968,0.372745,0.001036
0.795591,0.044088,0.000122
0.809619,0.170341,0.001042
0.555110,0.214429,-0.000119
0.210421,0.607214,0.001080
0.444890,0.376754,-0.001308
0.132265,0.527054,0.000460
0.789579,0.881764,-0.000244
0.941884,0.655311,0.001271
0.703407,0.927856,0.001246
0.841683,0.082164,-0.000468
0.420842,0.348697,0.000245
0.621242,0.486974,0.001298
0.979960,0.322645,0.000833
0.615230,0.763527,0.000063
0.949900,0.234469,0.002319
0.282565,0.781563,-0.001794
0.661323,0.763527,-0.000790
0.066132,0.909820,-0.000429
0.060120,0.753507,0.000590
0.302605,0.959920,-0.000793
0.018036,0.142285,0.001764
0.589178,0.825651,0.000495
0.446894,0.667335,0.000416
0.348697,0.000000,-0.001631
0.328657,0.733467,0.000159
0.707415,0.863727,-0.001372
0.957916,0.977956,0.000113
0.094188,0.749499,-0.000530
0.314629,0.220441,0.001959
0.799599,0.983968,-0.001017
0.346693,0.072144,0.000287
0.511022,0.597194,-0.001381
0.198397,0.456914,0.000210
0.561122,0.412826,-0.000438
0.683367,0.160321,0.000809
0.539078,0.114228,-0.000348
0.464930,0.787575,-0.000152
0.420842,0.713427,-0.001340
0.519038,0.312625,-0.001371
0.661323,0.160321,0.000893
0.835671,0.619238,-0.001808
0.258517,0.054108,0.000278
0.182365,0.631263,0.000899
0.591182,0.781563,0.000369
0.462926,0.296593,-0.000456
0.967936,0.863727,-0.001393
0.555110,0.721443,-0.001127
0.915832,0.004008,0.000887
0.112224,0.969940,-0.000247
0.342685,0.965932,-0.001217
0.350701,0.611222,-0.001373
0.408818,0.132265,0.001237
0.995992,0.446894,-0.000872
0.044088,0.012024,-0.000051
0.472946,0.587174,-0.000983
0.306613,0.198397,0.001684
0.997996,0.959920,-0.001293
0.030060,0.929860,0.001410
0.505010,0.026052,-0.000329
0.683367,0.911824,-0.000817
0.773547,0.470942,-0.001320
0.975952,0.527054,0.000990
0.559118,0.458918,-0.001139
0.973948,0.805611,0.000305
0.046092,0.829659,0.001650
0.653307,0.651303,-0.000004
0.386774,0.344689,-0.000996
0.805611,0.891784,-0.002535
0.937876,0.631263,0.001314
0.264529,0.244489,-0.000155
0.897796,0.410822,0.000242
0.543086,0.559118,-0.000533
0.913828,0.426854,0.001372
0.629259,0.382766,0.001351
0.693387,0.304609,0.000052
0.364729,0.897796,-0.001162
0.527054,0.070140,-0.000395
0.763527,0.813627,-0.000390
0.248497,0.018036,-0.001123
0.765531,0.216433,0.000696
0.893788,0.478958,0.001972
0.801603,0.509018,-0.001462
0.715431,0.222445,0.000450
0.444890,0.220441,-0.001124
0.919840,0.733467,0.001281
0.148297,0.943888,-0.000527
0.563126,0.597194,-0.000408
0.779559,0.212425,0.001779
0.547094,0.256513,0.000060
